ALGORITHM,PARAM,TIMEEXEC,NCLUSTERS,NCLUSTERS_PREDEF,FILE_OUTPUT,Silhouette_euclidean
BIRCH,n_clusters=2,0:00:02.793436,2,YES,DIR: Birch,0.2862255137970587
Mean-shift,iBandwidth_ 7  bandwidth: 19.26362667746241 bin_seeding=True,0:02:00.619098,2,NO,DIR: MEAN_SHIFT,0.2830326465750047
DBSCAN,eps=5.0001 min_samples=10,0:00:12.461760,221,NO,DIR: DBSCAN__min_samples10,-0.28204820135523134
DBSCAN,eps=11.0001 min_samples=100,0:00:21.765755,2,NO,DIR: DBSCAN__min_samples100,0.28095862248277986
DBSCAN,eps=8.7501 min_samples=10,0:00:37.221328,27,NO,DIR: DBSCAN__min_samples10,-0.26588946270960445
DBSCAN,eps=10.7501 min_samples=100,0:00:20.248469,2,NO,DIR: DBSCAN__min_samples100,0.26313745450764864
DBSCAN,eps=10.5001 min_samples=100,0:00:18.738481,2,NO,DIR: DBSCAN__min_samples100,0.24616481164372803
K-Means,n_clusters=4 random_state=0,0:00:00.799625,4,YES,DIR: kmeans,0.24033005280108247
DBSCAN,eps=9.2501 min_samples=10,0:00:40.555909,7,NO,DIR: DBSCAN__min_samples10,-0.2396779345092484
DBSCAN,eps=8.5001 min_samples=100,0:00:06.631883,4,NO,DIR: DBSCAN__min_samples100,-0.2394764474394646
K-Means,n_clusters=5 random_state=0,0:00:01.979022,5,YES,DIR: kmeans,0.2364763716664836
K-Means,n_clusters=3 random_state=0,0:00:00.466725,3,YES,DIR: kmeans,0.23330955302086823
DBSCAN,eps=10.2501 min_samples=100,0:00:17.244302,2,NO,DIR: DBSCAN__min_samples100,0.2310291036214446
Bisecting K-Means,n_clusters=3,0:00:00.015617,3,YES,DIR: BisectingKMeans,0.22913192420912357
K-Means,n_clusters=6 random_state=0,0:00:02.930178,6,YES,DIR: kmeans,0.2275488372220535
DBSCAN,eps=9.0001 min_samples=10,0:00:38.880739,16,NO,DIR: DBSCAN__min_samples10,-0.22419067705524737
DBSCAN,eps=10.0001 min_samples=100,0:00:15.195855,2,NO,DIR: DBSCAN__min_samples100,0.21030169583138006
